sid	smiles	kingdom	superklass	klass	subklass	direct_parent	geometric_descriptor	alternative parents	substituents
	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O	Organic compounds	Nucleosides, nucleotides, and analogues	Pyrimidine nucleotides	Pyrimidine ribonucleotides	Pyrimidine ribonucleoside triphosphates	Aromatic heteromonocyclic compounds	1,2-diols;Azacyclic compounds;Heteroaromatic compounds;Hydrocarbon derivatives;Lactams;Monoalkyl phosphates;Monosaccharides;Organic carbonic acids and derivatives;Organic oxides;Organonitrogen compounds;Organopnictogen compounds;Oxacyclic compounds;Pentose phosphates;Pyrimidones;Secondary alcohols;Tetrahydrofurans;Vinylogous amides	Pyrimidine ribonucleoside triphosphate;Lactam;Aromatic heteromonocyclic compound;Pentose phosphate;Monosaccharide;Pentose-5-phosphate;Pyrimidone;Pyrimidine;Saccharide;Organic oxide;Organonitrogen compound;Organopnictogen compound;Organoheterocyclic compound;1,2-diol;Alcohol;Vinylogous amide;Carbonic acid derivative;Azacycle;Tetrahydrofuran;Heteroaromatic compound;Oxacycle;Organic oxygen compound;Phosphoric acid ester;Monoalkyl phosphate;Secondary alcohol;Hydrocarbon derivative;Organic nitrogen compound;Organic phosphoric acid derivative;Alkyl phosphate;Organooxygen compound
	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O	Organic compounds	Nucleosides, nucleotides, and analogues	Pyrimidine nucleotides	Pyrimidine ribonucleotides	Pyrimidine ribonucleoside monophosphates	Aromatic heteromonocyclic compounds	1,2-diols;Azacyclic compounds;Heteroaromatic compounds;Hydrocarbon derivatives;Lactams;Monoalkyl phosphates;Monosaccharides;Organic carbonic acids and derivatives;Organic oxides;Organonitrogen compounds;Organopnictogen compounds;Oxacyclic compounds;Pentose phosphates;Pyrimidones;Secondary alcohols;Tetrahydrofurans;Vinylogous amides	Lactam;Aromatic heteromonocyclic compound;Pentose phosphate;Monosaccharide;Pentose-5-phosphate;Pyrimidone;Pyrimidine;Saccharide;Organic oxide;Organonitrogen compound;Organopnictogen compound;Organoheterocyclic compound;1,2-diol;Alcohol;Vinylogous amide;Carbonic acid derivative;Azacycle;Tetrahydrofuran;Heteroaromatic compound;Oxacycle;Pyrimidine ribonucleoside monophosphate;Organic oxygen compound;Phosphoric acid ester;Monoalkyl phosphate;Secondary alcohol;Hydrocarbon derivative;Organic nitrogen compound;Organic phosphoric acid derivative;Alkyl phosphate;Organooxygen compound
	O=C1NC2=C(N1)C(=O)NC(=O)N2	Organic compounds	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives	Purinones	Aromatic heteropolycyclic compounds	Azacyclic compounds;Heteroaromatic compounds;Hydrocarbon derivatives;Imidazoles;Lactams;Organic carbonic acids and derivatives;Organic oxides;Organonitrogen compounds;Organooxygen compounds;Organopnictogen compounds;Pyrimidones;Vinylogous amides	Vinylogous amide;Carbonic acid derivative;Lactam;Azacycle;Heteroaromatic compound;Pyrimidone;Purinone;Pyrimidine;Organic oxide;Organic oxygen compound;Aromatic heteropolycyclic compound;Imidazole;Organonitrogen compound;Organopnictogen compound;Hydrocarbon derivative;Organic nitrogen compound;Organooxygen compound;Azole
	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Aromatic heteromonocyclic compounds	Acetamides;Azacyclic compounds;Carbonyl compounds;Carboxylic acids and derivatives;Heteroaromatic compounds;Hydrocarbon derivatives;Lactams;Monoalkyl phosphates;N-acyl-alpha-hexosamines;Organic carbonic acids and derivatives;Organic oxides;Organic pyrophosphates;Organonitrogen compounds;Organopnictogen compounds;Oxacyclic compounds;Oxanes;Pentose phosphates;Primary alcohols;Pyrimidine ribonucleoside diphosphates;Pyrimidones;Secondary alcohols;Secondary carboxylic acid amides;Tetrahydrofurans;Vinylogous amides	Carbonyl group;Lactam;Aromatic heteromonocyclic compound;Pentose phosphate;Monosaccharide;Pentose-5-phosphate;Pyrimidone;Carboxylic acid derivative;Pyrimidine;N-acyl-alpha-hexosamine;Organic oxide;Organonitrogen compound;Organopnictogen compound;Oxane;Primary alcohol;Organoheterocyclic compound;Acetamide;Alcohol;Vinylogous amide;Carbonic acid derivative;Azacycle;Tetrahydrofuran;Heteroaromatic compound;Carboxamide group;Organic pyrophosphate;Oxacycle;Secondary carboxylic acid amide;Pyrimidine ribonucleoside diphosphate;Phosphoric acid ester;Monoalkyl phosphate;Secondary alcohol;Hydrocarbon derivative;Organic nitrogen compound;Organic phosphoric acid derivative;Alkyl phosphate
	O=C1NC2=C(NC=N2)C(=O)N1	Organic compounds	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives	Purinones	Aromatic heteropolycyclic compounds	Azacyclic compounds;Heteroaromatic compounds;Hydrocarbon derivatives;Imidazoles;Lactams;Organic carbonic acids and derivatives;Organic oxides;Organonitrogen compounds;Organooxygen compounds;Organopnictogen compounds;Pyrimidones;Vinylogous amides	Vinylogous amide;Carbonic acid derivative;Lactam;Azacycle;Heteroaromatic compound;Pyrimidone;Purinone;Pyrimidine;Organic oxide;Organic oxygen compound;Aromatic heteropolycyclic compound;Imidazole;Organonitrogen compound;Organopnictogen compound;Hydrocarbon derivative;Organic nitrogen compound;Organooxygen compound;Azole
	O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=C(O)N=C2O	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides	Purine ribonucleoside triphosphates	Aromatic heteropolycyclic compounds	1,2-diols;Azacyclic compounds;Heteroaromatic compounds;Hydrocarbon derivatives;Hydroxypyrimidines;Imidazoles;Monoalkyl phosphates;Monosaccharides;N-substituted imidazoles;Organic oxides;Organonitrogen compounds;Organopnictogen compounds;Oxacyclic compounds;Pentose phosphates;Purine ribonucleoside monophosphates;Purines and purine derivatives;Secondary alcohols;Tetrahydrofurans	Pentose phosphate;Purine ribonucleoside monophosphate;Monosaccharide;Pentose-5-phosphate;Hydroxypyrimidine;Imidazopyrimidine;Pyrimidine;Saccharide;Organic oxide;Aromatic heteropolycyclic compound;Imidazole;Organonitrogen compound;Organopnictogen compound;Purine ribonucleoside triphosphate;Organoheterocyclic compound;Azole;1,2-diol;N-substituted imidazole;Alcohol;Azacycle;Tetrahydrofuran;Heteroaromatic compound;Oxacycle;Organic oxygen compound;Phosphoric acid ester;Monoalkyl phosphate;Secondary alcohol;Hydrocarbon derivative;Purine;Organic nitrogen compound;Organic phosphoric acid derivative;Alkyl phosphate;Organooxygen compound
	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O	Organic compounds	Nucleosides, nucleotides, and analogues	Pyrimidine nucleotides	Pyrimidine ribonucleotides	Pyrimidine ribonucleoside diphosphates	Aromatic heteromonocyclic compounds	1,2-diols;Azacyclic compounds;Heteroaromatic compounds;Hydrocarbon derivatives;Lactams;Monoalkyl phosphates;Monosaccharides;Organic carbonic acids and derivatives;Organic oxides;Organic pyrophosphates;Organonitrogen compounds;Organopnictogen compounds;Oxacyclic compounds;Pentose phosphates;Pyrimidones;Secondary alcohols;Tetrahydrofurans;Vinylogous amides	Lactam;Aromatic heteromonocyclic compound;Pentose phosphate;Monosaccharide;Pentose-5-phosphate;Pyrimidone;Pyrimidine;Saccharide;Organic oxide;Organonitrogen compound;Organopnictogen compound;Organoheterocyclic compound;1,2-diol;Alcohol;Vinylogous amide;Carbonic acid derivative;Azacycle;Tetrahydrofuran;Heteroaromatic compound;Organic pyrophosphate;Oxacycle;Pyrimidine ribonucleoside diphosphate;Organic oxygen compound;Phosphoric acid ester;Monoalkyl phosphate;Secondary alcohol;Hydrocarbon derivative;Organic nitrogen compound;Organic phosphoric acid derivative;Alkyl phosphate;Organooxygen compound
	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O	Organic compounds	Nucleosides, nucleotides, and analogues	Pyrimidine nucleosides	Pyrimidine nucleosides	Pyrimidine nucleosides	Aromatic heteromonocyclic compounds	Azacyclic compounds;Heteroaromatic compounds;Hydrocarbon derivatives;Lactams;Monosaccharides;Organic carbonic acids and derivatives;Organic oxides;Organonitrogen compounds;Organopnictogen compounds;Oxacyclic compounds;Primary alcohols;Pyrimidones;Secondary alcohols;Tetrahydrofurans;Vinylogous amides	Lactam;Aromatic heteromonocyclic compound;Monosaccharide;Pyrimidone;Pyrimidine;Saccharide;Organic oxide;Organonitrogen compound;Organopnictogen compound;Pyrimidine nucleoside;Primary alcohol;Organoheterocyclic compound;Alcohol;Vinylogous amide;Carbonic acid derivative;Azacycle;Tetrahydrofuran;Heteroaromatic compound;Oxacycle;Organic oxygen compound;Secondary alcohol;Hydrocarbon derivative;Organic nitrogen compound;Organooxygen compound
	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=C(O)N=C2O	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleosides	Purine nucleosides	Purine nucleosides	Aromatic heteropolycyclic compounds	Azacyclic compounds;Heteroaromatic compounds;Hydrocarbon derivatives;Hydroxypyrimidines;Imidazoles;Monosaccharides;N-substituted imidazoles;Organonitrogen compounds;Organopnictogen compounds;Oxacyclic compounds;Primary alcohols;Purines and purine derivatives;Secondary alcohols;Tetrahydrofurans	Monosaccharide;Hydroxypyrimidine;Imidazopyrimidine;Pyrimidine;Saccharide;Aromatic heteropolycyclic compound;Imidazole;Organonitrogen compound;Organopnictogen compound;Primary alcohol;Organoheterocyclic compound;Azole;N-substituted imidazole;Alcohol;Azacycle;Tetrahydrofuran;Purine nucleoside;Heteroaromatic compound;Oxacycle;Organic oxygen compound;Secondary alcohol;Hydrocarbon derivative;Purine;Organic nitrogen compound;Organooxygen compound
	O=C1NC=CC(=O)N1	Organic compounds	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives	Pyrimidones	Aromatic heteromonocyclic compounds	Azacyclic compounds;Heteroaromatic compounds;Hydrocarbon derivatives;Lactams;Organic carbonic acids and derivatives;Organic oxides;Organonitrogen compounds;Organooxygen compounds;Organopnictogen compounds;Vinylogous amides	Vinylogous amide;Carbonic acid derivative;Lactam;Aromatic heteromonocyclic compound;Azacycle;Heteroaromatic compound;Pyrimidone;Organic oxide;Organic oxygen compound;Organonitrogen compound;Organopnictogen compound;Hydrocarbon derivative;Organic nitrogen compound;Organooxygen compound
	OC[C@H]1O[C@H](O[P@@](O)(=O)O[P@@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@H]1O	Organic compounds	Nucleosides, nucleotides, and analogues	Pyrimidine nucleotides	Pyrimidine ribonucleotides	Pyrimidine ribonucleoside diphosphates	Aromatic heteromonocyclic compounds	Azacyclic compounds;Heteroaromatic compounds;Hydrocarbon derivatives;Lactams;Monoalkyl phosphates;Monosaccharides;Organic carbonic acids and derivatives;Organic oxides;Organic pyrophosphates;Organonitrogen compounds;Organopnictogen compounds;Oxacyclic compounds;Oxanes;Pentose phosphates;Primary alcohols;Pyrimidones;Secondary alcohols;Tetrahydrofurans;Vinylogous amides	Lactam;Aromatic heteromonocyclic compound;Pentose phosphate;Monosaccharide;Pentose-5-phosphate;Pyrimidone;Pyrimidine;Saccharide;Organic oxide;Organonitrogen compound;Organopnictogen compound;Oxane;Primary alcohol;Organoheterocyclic compound;Alcohol;Vinylogous amide;Carbonic acid derivative;Azacycle;Tetrahydrofuran;Heteroaromatic compound;Organic pyrophosphate;Oxacycle;Pyrimidine ribonucleoside diphosphate;Organic oxygen compound;Phosphoric acid ester;Monoalkyl phosphate;Secondary alcohol;Hydrocarbon derivative;Organic nitrogen compound;Organic phosphoric acid derivative;Alkyl phosphate;Organooxygen compound
	NCCC1=CC=C(O)C=C1	Organic compounds	Benzenoids	Phenols	1-hydroxy-2-unsubstituted benzenoids	1-hydroxy-2-unsubstituted benzenoids	Aromatic homomonocyclic compounds	Benzene and substituted derivatives;Hydrocarbon derivatives;Monoalkylamines;Organonitrogen compounds;Organooxygen compounds;Organopnictogen compounds	Monocyclic benzene moiety;1-hydroxy-2-unsubstituted benzenoid;Aromatic homomonocyclic compound;Organic oxygen compound;Organonitrogen compound;Organopnictogen compound;Hydrocarbon derivative;Primary aliphatic amine;Organic nitrogen compound;Organooxygen compound
	OCC(O)C1=CC(O)=C(O)C=C1	Organic compounds	Benzenoids	Phenols	1-hydroxy-2-unsubstituted benzenoids	1-hydroxy-2-unsubstituted benzenoids	Aromatic homomonocyclic compounds	1,2-diols;1-hydroxy-4-unsubstituted benzenoids;Aromatic alcohols;Benzene and substituted derivatives;Hydrocarbon derivatives;Primary alcohols;Secondary alcohols	Aromatic alcohol;Alcohol;Monocyclic benzene moiety;1-hydroxy-2-unsubstituted benzenoid;1-hydroxy-4-unsubstituted benzenoid;Aromatic homomonocyclic compound;Organic oxygen compound;Secondary alcohol;Hydrocarbon derivative;Primary alcohol;Organooxygen compound;1,2-diol
	OC(=O)CCC1=CC=CC(O)=C1	Organic compounds	Phenylpropanoids and polyketides	Phenylpropanoic acids	Phenylpropanoic acids	Phenylpropanoic acids	Aromatic homomonocyclic compounds	1-hydroxy-2-unsubstituted benzenoids;1-hydroxy-4-unsubstituted benzenoids;Benzene and substituted derivatives;Carbonyl compounds;Carboxylic acids;Hydrocarbon derivatives;Monocarboxylic acids and derivatives;Organic oxides	Monocyclic benzene moiety;Carbonyl group;Carboxylic acid;3-Phenylpropanoic-acid;1-hydroxy-2-unsubstituted benzenoid;1-hydroxy-4-unsubstituted benzenoid;Carboxylic acid derivative;Aromatic homomonocyclic compound;Organic oxide;Monocarboxylic acid or derivatives;Organic oxygen compound;Phenol;Hydrocarbon derivative;Benzenoid;Organooxygen compound
	OC(=O)C1=CC=CC(O)=C1O	Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Salicylic acids	Aromatic homomonocyclic compounds	1-carboxy-2-haloaromatic compounds;1-hydroxy-2-unsubstituted benzenoids;1-hydroxy-4-unsubstituted benzenoids;Benzoic acids;Benzoyl derivatives;Hydrocarbon derivatives;Monocarboxylic acids and derivatives;Organic oxides;Organooxygen compounds;Vinylogous acids	Carboxylic acid;Benzoyl;1-hydroxy-2-unsubstituted benzenoid;Salicylic acid;1-hydroxy-4-unsubstituted benzenoid;Carboxylic acid derivative;Aromatic homomonocyclic compound;Vinylogous acid;Organic oxide;Monocarboxylic acid or derivatives;Organic oxygen compound;Phenol;Hydrocarbon derivative;1-carboxy-2-haloaromatic compound;Benzoic acid;Organooxygen compound
	CC(C)[C@@](O)(CC(O)=O)C(O)=O	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Hydroxy fatty acids	Aliphatic acyclic compounds	Alpha hydroxy acids and derivatives;Carbonyl compounds;Carboxylic acids;Dicarboxylic acids and derivatives;Hydrocarbon derivatives;Methyl-branched fatty acids;Organic oxides;Short-chain hydroxy acids and derivatives;Tertiary alcohols	Alcohol;Aliphatic acyclic compound;Carbonyl group;Carboxylic acid;Methyl-branched fatty acid;Short-chain hydroxy acid;Alpha-hydroxy acid;Hydroxy acid;Carboxylic acid derivative;Branched fatty acid;Tertiary alcohol;Organic oxide;Organic oxygen compound;Dicarboxylic acid or derivatives;Hydrocarbon derivative;Hydroxy fatty acid;Organooxygen compound
	NC(=O)NC1NC(=O)NC1=O	Organic compounds	Organoheterocyclic compounds	Azolidines	Imidazolidines	Allantoins	Aliphatic heteromonocyclic compounds	Alpha amino acids;Azacyclic compounds;Carbonyl compounds;Carboxylic acids and derivatives;Dicarboximides;Hydrocarbon derivatives;Imidazolidinones;Organic carbonic acids and derivatives;Organic oxides;Organonitrogen compounds;Organopnictogen compounds	Carbonyl group;Carbonic acid derivative;Azacycle;Alpha-amino acid or derivatives;Carboxylic acid derivative;Organic oxide;Organic oxygen compound;Allantoin;Aliphatic heteromonocyclic compound;Organonitrogen compound;Alpha-amino acid;Organopnictogen compound;Hydrocarbon derivative;Dicarboximide;Organic nitrogen compound;Organooxygen compound
	CCCCCCCC(O)=O	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Medium-chain fatty acids	Aliphatic acyclic compounds	Carbonyl compounds;Carboxylic acids;Hydrocarbon derivatives;Monocarboxylic acids and derivatives;Organic oxides;Straight chain fatty acids	Aliphatic acyclic compound;Carbonyl group;Straight chain fatty acid;Carboxylic acid;Carboxylic acid derivative;Organic oxide;Monocarboxylic acid or derivatives;Organic oxygen compound;Hydrocarbon derivative;Medium-chain fatty acid;Organooxygen compound
	CCC(C)C(=O)C(O)=O	Organic compounds	Organic acids and derivatives	Keto acids and derivatives	Short-chain keto acids and derivatives	Short-chain keto acids and derivatives	Aliphatic acyclic compounds	Alpha-hydroxy ketones;Alpha-keto acids and derivatives;Carboxylic acids;Fatty Acyls;Hydrocarbon derivatives;Methyl-branched fatty acids;Monocarboxylic acids and derivatives;Organic oxides	Fatty acyl;Aliphatic acyclic compound;Carbonyl group;Carboxylic acid;Methyl-branched fatty acid;Short-chain keto acid;Alpha-hydroxy ketone;Carboxylic acid derivative;Branched fatty acid;Ketone;Organic oxide;Monocarboxylic acid or derivatives;Organic oxygen compound;Alpha-keto acid;Hydrocarbon derivative;Organooxygen compound
	O	Organic compounds	Organic oxygen compounds	Organic oxides	Organic oxides	Organic oxides	Acyclic compounds		Organic oxide;Acyclic compound
	OC(=O)C1=CC=C(O)C=C1	Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Hydroxybenzoic acid derivatives	Aromatic homomonocyclic compounds	1-hydroxy-2-unsubstituted benzenoids;Benzoic acids;Benzoyl derivatives;Carboxylic acids;Hydrocarbon derivatives;Monocarboxylic acids and derivatives;Organic oxides;Organooxygen compounds	Carboxylic acid;Benzoyl;1-hydroxy-2-unsubstituted benzenoid;Carboxylic acid derivative;Hydroxybenzoic acid;Aromatic homomonocyclic compound;Organic oxide;Monocarboxylic acid or derivatives;Organic oxygen compound;Phenol;Hydrocarbon derivative;Benzoic acid;Organooxygen compound
	N[C@@H](CCCC(O)=O)C(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Delta amino acids and derivatives	Aliphatic acyclic compounds	Alpha amino acids;Amino fatty acids;Carbonyl compounds;Carboxylic acids;Dicarboxylic acids and derivatives;Hydrocarbon derivatives;Medium-chain fatty acids;Monoalkylamines;Organic oxides;Organonitrogen compounds;Organopnictogen compounds	Fatty acyl;Aliphatic acyclic compound;Carbonyl group;Carboxylic acid;Fatty acid;Alpha-amino acid or derivatives;Amino fatty acid;Organic oxide;Organic oxygen compound;Organonitrogen compound;Alpha-amino acid;Dicarboxylic acid or derivatives;Organopnictogen compound;Delta amino acid or derivatives;Hydrocarbon derivative;Medium-chain fatty acid;Primary aliphatic amine;Organic nitrogen compound;Organooxygen compound
